id,cikmissing,AuthorName,company,PERMNO,TICKER,date,cik,,,,
1,0,Citron Research,ESCALA GROUP INC,79167,ESCL,4-Jan-06,0000895516,,,,1
2,0,Citron Research,CHINA TECHNOLOGY DEVELOP GP COR,84343,CTDC,9-Feb-06,0001027454 ,,,,
3,0,Citron Research,HOUSEVALUES INC,90489,SOLD,21-Feb-06,0001298978,,,,
4,0,Citron Research,FAIRFAX FINL HOLDINGS LTD,89627,FFH,27-Mar-06,0000915191,,,,
5,0,Manuel P. Asensio,CROCS INC,91090,CROX,29-Mar-06,0001334036,,,,
6,0,Citron Research,IMERGENT INC,87404,IIG,18-Apr-06,0001075736,,,,
7,0,Manuel P. Asensio,DOCUMENT SECURITY SYSTEMS INC,10253,DMC,12-May-06,0000771999 ,,,,
8,0,Citron Research,VERTRUE INC,84098,VTRU,23-May-06,0001020996,,,,
9,0,Citron Research,HOME SOLUTIONS OF AMERICA INC,89767,HOM,2-Jun-06,0000855424,,,,
10,0,Citron Research,HOME SOLUTIONS OF AMERICA INC,89767,HOM,6-Jun-06,0000855424,,,,
11,0,Citron Research,IMERGENT INC,87404,IIG,11-Jun-06,0001075736,,,,
12,0,Citron Research,MEDIFAST INC,80054,MED,22-Jun-06,0000910329,,,,
13,0,Citron Research,MOVE INC,87165,MOVE,5-Jul-06,0001085770,,,,
14,0,Manuel P. Asensio,PEGASUS WIRELESS CORP,91180,PGWC,20-Jul-06,0001126752,,,,
15,0,Citron Research,INTEROIL CORP,90339,IOC,17-Aug-06,0001221715,,,,
16,0,Citron Research,INTEROIL CORP,90339,IOC,23-Aug-06,0001221715,,,,
17,0,Citron Research,MEDIFAST INC,80054,MED,24-Aug-06,0000910329,,,,
18,0,Citron Research,IMERGENT INC,87404,IIG,12-Sep-06,0001075736,,,,
19,0,Citron Research,INTEROIL CORP,90339,IOC,11-Oct-06,0001221715,,,,
20,0,Citron Research,SYSTEMAX INC,81665,SYX,12-Oct-06,0000945114,,,,
21,0,Citron Research,SYNTAX BRILLIAN CORP,89831,BRLC,8-Nov-06,0001232229,,,,
22,0,Citron Research,SYNTAX BRILLIAN CORP,89831,BRLC,14-Nov-06,0001232229,,,,
23,0,Citron Research,INTUITIVE SURGICAL INC,88352,ISRG,20-Dec-06,0001035267,,,,
24,0,Citron Research,SYSTEMAX INC,81665,SYX,17-Jan-07,0000945114,,,,
25,0,Citron Research,MEDIS TECHNOLOGIES LTD,88355,MDTL,13-Apr-07,0001090507,,,,
26,0,Citron Research,MEDIS TECHNOLOGIES LTD,88355,MDTL,18-Apr-07,0001090507,,,,
27,0,Citron Research,MDI INC,77893,MDII,24-Apr-07,0000318259,,,,
28,0,Citron Research,XINHUA FINANCE MEDIA LTD,91912,XFML,21-May-07,0001389476,,,,
29,0,Pershing Square,AMBAC FINANCIAL GROUP INC,76757,ABK,23-May-07,0000874501,,,,
30,0,Pershing Square,M B I A INC,75175,MBI,24-May-07,0000814585,,,,
31,0,Kynikos Associates,MOODYS CORP,48506,MCO,31-May-07,0001059556,,,,
32,0,Citron Research,CHINA FIN ONLINE CO LTD,90412,JRJC,27-Sep-07,0001297830,,,,
33,0,Manuel P. Asensio,L D K SOLAR CO LTD,92126,LDK,3-Oct-07,0001385424,,,,
34,0,Citron Research,BIDZ COM INC,92088,BIDZ,27-Nov-07,0001324105,,,,
35,0,Citron Research,ARTHROCARE CORP,83113,ARTC,20-Dec-07,0001005010,,,,
36,0,Citron Research,ARTHROCARE CORP,83113,ARTC,26-Dec-07,0001005010,,,,
37,0,Citron Research,ARTHROCARE CORP,83113,ARTC,8-Jan-08,0001005010,,,,
38,0,Whitney Tilson,M B I A INC,75175,MBI,7-Feb-08,0000814585,,,,
